slide_number,condition,AJ,JB,JC,CL,KB,KT,NR,JW,EW,LJ,TH,HC,LG,CG,MZ,BW,KS ,RC,MW,MF,JF,LH,AG,TW,GT,Ali G,AD,NB,CCB,JN,XN,KN,CR,AR,AO,AS,MC
1,barrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,barrier,,1,1,1,,1,,,,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,barrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,barrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,barrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,barrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,barrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,barrier,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,1,,,,,,1,,
9,barrier,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,,1,1,1,,,1,1,1,,1,1,1
10,barrier,,,,,,,,,,,1,,1,,,1,,,,1,,1,,,1,,,,1,1,,,,,,,1
11,barrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,barrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,barrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,barrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,barrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,barrier,,,,,1,1,,,,,,,,,,1,,1,1,,,,,,1,,,,,,,,,1,,,1
17,barrier,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,,,1,1,1,1,1,,1,1,,1,1,1,1,1,,1,1,1
18,barrier,,,,1,,,,,1,1,1,1,,1,,,,,,,,,,1,,,,1,,,,,,,,,
19,barrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,barrier,1,,1,1,1,1,,,,,,1,,,1,1,,1,,1,,,1,,1,,1,,,1,,1,1,,1,,1
1,nothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,nothing,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,nothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,nothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,nothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,nothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,nothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,nothing,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
9,nothing,1,1,1,,1,,1,1,1,1,1,1,1,1,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1
10,nothing,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,
11,nothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,nothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,nothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,nothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,nothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,nothing,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,1
17,nothing,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1
18,nothing,,,,1,,,,,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,
19,nothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,nothing,1,,1,1,1,1,1,1,1,,,,1,1,1,,,1,,1,,,1,1,1,,1,1,1,1,,1,1,1,1,,1
1,straight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,straight,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,straight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,straight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,straight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,straight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,straight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,straight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,straight,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1
10,straight,,,,,,,,,,1,1,,1,1,,,,1,,,1,1,1,1,1,,1,1,,,,,,1,1,,1
11,straight,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
12,straight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,straight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,straight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,straight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,straight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,straight,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1
18,straight,,,,1,,1,,,1,1,1,,,1,,,,,1,,,1,,1,1,1,,,,1,,,,1,1,,1
19,straight,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,
20,straight,1,,1,1,1,1,1,1,1,,,,1,,,,,,,,,,,,1,,,1,1,,,1,1,,,,1