slide_num_adj,slidenumber,run,slide_type
2,3,first,boundary
3,4,first,within
4,5,first,within
5,6,first,within
6,7,first,within
7,8,first,within
8,9,first,within
9,10,first,boundary
10,11,first,within
11,12,first,within
12,13,first,within
13,14,first,within
14,15,first,within
15,16,first,within
16,17,first,within
17,18,first,boundary
18,19,first,within
19,20,first,within
2,24,second,boundary
3,25,second,within
4,26,second,within
5,27,second,within
6,28,second,within
7,29,second,within
8,30,second,within
9,31,second,boundary
10,32,second,within
11,33,second,within
12,34,second,within
13,35,second,within
14,36,second,within
15,37,second,within
16,38,second,within
17,39,second,boundary
18,40,second,within
19,41,second,within